nome,estado,cidade,lat,lon,plano,mensalidade
Isabel Pacheco,MG,Belo Horizonte,-19.9167,-43.9345,1GB,199
João Felipe Cassiano,CE,Fortaleza,-3.7319,-38.5267,1GB,199
Francisco Gonçalves,RJ,Rio de Janeiro,-22.9068,-43.1729,500MB,159
Theo Moreira,BA,Salvador,-12.9714,-38.5014,1GB,199
João Vitor Sousa,PE,Recife,-8.0476,-34.877,1GB,199
Enrico Nogueira,BA,Salvador,-12.9714,-38.5014,300MB,129
Pedro Miguel Fonseca,PE,Recife,-8.0476,-34.877,500MB,159
Sophie Sá,BA,Salvador,-12.9714,-38.5014,300MB,129
Lucas Gabriel Carvalho,SP,São Paulo,-23.5505,-46.6333,100MB,99
Lucas Gabriel Mendonça,MG,Belo Horizonte,-19.9167,-43.9345,500MB,159
Dr. João Felipe Pastor,PR,Curitiba,-25.4284,-49.2733,1GB,199
Rafaela Novaes,BA,Salvador,-12.9714,-38.5014,500MB,159
Vinícius Guerra,RJ,Rio de Janeiro,-22.9068,-43.1729,500MB,159
Mirella Nunes,BA,Salvador,-12.9714,-38.5014,300MB,129
João Pastor,PE,Recife,-8.0476,-34.877,1GB,199
Raquel Araújo,BA,Salvador,-12.9714,-38.5014,1GB,199
Sr. Leandro Sousa,SP,São Paulo,-23.5505,-46.6333,1GB,199
Dr. Samuel Azevedo,MG,Belo Horizonte,-19.9167,-43.9345,500MB,159
Ana Clara Azevedo,PE,Recife,-8.0476,-34.877,100MB,99
Pedro Lucas Montenegro,PR,Curitiba,-25.4284,-49.2733,1GB,199
Maria Helena Pastor,SP,São Paulo,-23.5505,-46.6333,500MB,159
Antônio Ramos,RJ,Rio de Janeiro,-22.9068,-43.1729,1GB,199
Sra. Eloah Camargo,PR,Curitiba,-25.4284,-49.2733,500MB,159
Dr. Heitor Silveira,MG,Belo Horizonte,-19.9167,-43.9345,500MB,159
Giovanna Cardoso,PE,Recife,-8.0476,-34.877,1GB,199
Mariana Gonçalves,MG,Belo Horizonte,-19.9167,-43.9345,300MB,129
Asafe Casa Grande,PE,Recife,-8.0476,-34.877,1GB,199
Arthur Miguel Porto,PR,Curitiba,-25.4284,-49.2733,100MB,99
Bruna Mendonça,PE,Recife,-8.0476,-34.877,500MB,159
Maria Flor Cavalcante,BA,Salvador,-12.9714,-38.5014,300MB,129
Aylla Porto,BA,Salvador,-12.9714,-38.5014,500MB,159
Ísis Rocha,SP,São Paulo,-23.5505,-46.6333,300MB,129
Sr. Guilherme da Costa,PE,Recife,-8.0476,-34.877,500MB,159
Clarice da Cunha,CE,Fortaleza,-3.7319,-38.5267,300MB,129
Sr. Eduardo da Costa,BA,Salvador,-12.9714,-38.5014,100MB,99
Lorena Cirino,CE,Fortaleza,-3.7319,-38.5267,300MB,129
Otto Marques,MG,Belo Horizonte,-19.9167,-43.9345,300MB,129
Vinicius Moura,PR,Curitiba,-25.4284,-49.2733,300MB,129
Emilly Novais,PE,Recife,-8.0476,-34.877,500MB,159
Thales da Cruz,PE,Recife,-8.0476,-34.877,300MB,129
Lorenzo Farias,PR,Curitiba,-25.4284,-49.2733,300MB,129
Yago Machado,MG,Belo Horizonte,-19.9167,-43.9345,100MB,99
Vicente Cassiano,BA,Salvador,-12.9714,-38.5014,300MB,129
Arthur Miguel Peixoto,SP,São Paulo,-23.5505,-46.6333,300MB,129
Thiago Mendonça,CE,Fortaleza,-3.7319,-38.5267,300MB,129
Eduarda Cardoso,PR,Curitiba,-25.4284,-49.2733,1GB,199
Rhavi Câmara,PR,Curitiba,-25.4284,-49.2733,500MB,159
Dr. Heitor Ramos,MG,Belo Horizonte,-19.9167,-43.9345,500MB,159
Luan Nunes,BA,Salvador,-12.9714,-38.5014,1GB,199
Enzo Gabriel Aragão,MG,Belo Horizonte,-19.9167,-43.9345,500MB,159
Nathan Pereira,CE,Fortaleza,-3.7319,-38.5267,300MB,129
Sra. Evelyn Monteiro,RJ,Rio de Janeiro,-22.9068,-43.1729,300MB,129
Rodrigo Rocha,PR,Curitiba,-25.4284,-49.2733,300MB,129
Henrique Casa Grande,PR,Curitiba,-25.4284,-49.2733,1GB,199
Sofia Almeida,BA,Salvador,-12.9714,-38.5014,500MB,159
Sra. Emilly Moura,BA,Salvador,-12.9714,-38.5014,300MB,129
Srta. Sofia Ramos,PE,Recife,-8.0476,-34.877,100MB,99
Maysa Viana,BA,Salvador,-12.9714,-38.5014,500MB,159
Arthur Gabriel Moreira,SP,São Paulo,-23.5505,-46.6333,500MB,159
Thales Moraes,PR,Curitiba,-25.4284,-49.2733,500MB,159
Vinicius Lopes,PR,Curitiba,-25.4284,-49.2733,300MB,129
Maria Luiza Rodrigues,CE,Fortaleza,-3.7319,-38.5267,300MB,129
Antônio Andrade,CE,Fortaleza,-3.7319,-38.5267,500MB,159
Bento Vasconcelos,PR,Curitiba,-25.4284,-49.2733,100MB,99
Paulo das Neves,BA,Salvador,-12.9714,-38.5014,1GB,199
Aurora Marques,PE,Recife,-8.0476,-34.877,300MB,129
Srta. Isabelly Cavalcanti,PE,Recife,-8.0476,-34.877,1GB,199
Bella Pimenta,PR,Curitiba,-25.4284,-49.2733,500MB,159
Isabela Freitas,CE,Fortaleza,-3.7319,-38.5267,500MB,159
Clarice Santos,PE,Recife,-8.0476,-34.877,500MB,159
Sr. Marcelo Leão,CE,Fortaleza,-3.7319,-38.5267,300MB,129
Maria Vitória Câmara,BA,Salvador,-12.9714,-38.5014,500MB,159
Rafaela Novaes,PR,Curitiba,-25.4284,-49.2733,100MB,99
Camila Farias,MG,Belo Horizonte,-19.9167,-43.9345,100MB,99
Srta. Pietra Moraes,PE,Recife,-8.0476,-34.877,500MB,159
Maysa Brito,BA,Salvador,-12.9714,-38.5014,1GB,199
Emanuelly Azevedo,CE,Fortaleza,-3.7319,-38.5267,300MB,129
Clarice Novaes,SP,São Paulo,-23.5505,-46.6333,100MB,99
Liz Pereira,PE,Recife,-8.0476,-34.877,100MB,99
Dr. Luiz Gustavo Marques,RJ,Rio de Janeiro,-22.9068,-43.1729,300MB,129
Fernando Moraes,BA,Salvador,-12.9714,-38.5014,300MB,129
Ana Beatriz Rocha,PR,Curitiba,-25.4284,-49.2733,500MB,159
Sra. Gabriela Almeida,SP,São Paulo,-23.5505,-46.6333,100MB,99
Sabrina Garcia,PR,Curitiba,-25.4284,-49.2733,300MB,129
Ana Araújo,RJ,Rio de Janeiro,-22.9068,-43.1729,1GB,199
Zoe Silveira,MG,Belo Horizonte,-19.9167,-43.9345,500MB,159
Noah Novaes,BA,Salvador,-12.9714,-38.5014,500MB,159
Isaque Silva,RJ,Rio de Janeiro,-22.9068,-43.1729,300MB,129
Sra. Maria Luísa Ribeiro,RJ,Rio de Janeiro,-22.9068,-43.1729,500MB,159
Alana Jesus,RJ,Rio de Janeiro,-22.9068,-43.1729,300MB,129
Pedro Cunha,BA,Salvador,-12.9714,-38.5014,300MB,129
Maria Vitória Pimenta,MG,Belo Horizonte,-19.9167,-43.9345,500MB,159
Diogo Carvalho,SP,São Paulo,-23.5505,-46.6333,1GB,199
Leandro Macedo,SP,São Paulo,-23.5505,-46.6333,300MB,129
Anthony Porto,CE,Fortaleza,-3.7319,-38.5267,500MB,159
Manuella Farias,BA,Salvador,-12.9714,-38.5014,300MB,129
Sr. Yuri da Mota,MG,Belo Horizonte,-19.9167,-43.9345,1GB,199
Lara da Cruz,PR,Curitiba,-25.4284,-49.2733,500MB,159
Lavínia Leão,PE,Recife,-8.0476,-34.877,1GB,199
Sra. Ana Luiza Correia,RJ,Rio de Janeiro,-22.9068,-43.1729,300MB,129
Alexandre Guerra,RJ,Rio de Janeiro,-22.9068,-43.1729,100MB,99
Julia Carvalho,PR,Curitiba,-25.4284,-49.2733,300MB,129
Dr. Mathias da Conceição,BA,Salvador,-12.9714,-38.5014,100MB,99
Josué Vieira,BA,Salvador,-12.9714,-38.5014,300MB,129
Dra. Larissa Ferreira,PR,Curitiba,-25.4284,-49.2733,300MB,129
Sr. Rodrigo Abreu,RJ,Rio de Janeiro,-22.9068,-43.1729,500MB,159
Rhavi Câmara,RJ,Rio de Janeiro,-22.9068,-43.1729,500MB,159
Ryan Machado,RJ,Rio de Janeiro,-22.9068,-43.1729,1GB,199
Maria Helena Sampaio,SP,São Paulo,-23.5505,-46.6333,100MB,99
Fernando Gonçalves,SP,São Paulo,-23.5505,-46.6333,100MB,99
Letícia Aparecida,MG,Belo Horizonte,-19.9167,-43.9345,100MB,99
Alana Oliveira,RJ,Rio de Janeiro,-22.9068,-43.1729,500MB,159
Sra. Juliana Macedo,MG,Belo Horizonte,-19.9167,-43.9345,100MB,99
Alice Dias,MG,Belo Horizonte,-19.9167,-43.9345,100MB,99
Dra. Alícia Sousa,CE,Fortaleza,-3.7319,-38.5267,1GB,199
Sra. Lavínia Moreira,PE,Recife,-8.0476,-34.877,500MB,159
Olívia Monteiro,MG,Belo Horizonte,-19.9167,-43.9345,500MB,159
Sr. Emanuel Nunes,PE,Recife,-8.0476,-34.877,1GB,199
Calebe das Neves,BA,Salvador,-12.9714,-38.5014,1GB,199
Jade Rios,MG,Belo Horizonte,-19.9167,-43.9345,1GB,199
Dr. Luiz Felipe da Paz,MG,Belo Horizonte,-19.9167,-43.9345,1GB,199
Pedro Melo,RJ,Rio de Janeiro,-22.9068,-43.1729,100MB,99
Sra. Nicole da Paz,CE,Fortaleza,-3.7319,-38.5267,300MB,129
Melissa Castro,MG,Belo Horizonte,-19.9167,-43.9345,100MB,99
Valentim Oliveira,CE,Fortaleza,-3.7319,-38.5267,500MB,159
Manuela Marques,SP,São Paulo,-23.5505,-46.6333,100MB,99
Ravi Lucca Fernandes,MG,Belo Horizonte,-19.9167,-43.9345,500MB,159
Dra. Ágatha Azevedo,PR,Curitiba,-25.4284,-49.2733,300MB,129
Apollo Leão,MG,Belo Horizonte,-19.9167,-43.9345,500MB,159
Ravi Lucca Caldeira,MG,Belo Horizonte,-19.9167,-43.9345,500MB,159
Maya Martins,PE,Recife,-8.0476,-34.877,300MB,129
Zoe Mendes,RJ,Rio de Janeiro,-22.9068,-43.1729,300MB,129
Srta. Lunna Barbosa,CE,Fortaleza,-3.7319,-38.5267,100MB,99
Matteo Martins,CE,Fortaleza,-3.7319,-38.5267,100MB,99
Davi Luiz Monteiro,BA,Salvador,-12.9714,-38.5014,500MB,159
Eloah Martins,CE,Fortaleza,-3.7319,-38.5267,500MB,159
Ana Beatriz da Mota,PE,Recife,-8.0476,-34.877,1GB,199
Zoe da Luz,CE,Fortaleza,-3.7319,-38.5267,500MB,159
João Rios,RJ,Rio de Janeiro,-22.9068,-43.1729,300MB,129
Vitória Jesus,PR,Curitiba,-25.4284,-49.2733,300MB,129
Dr. Luiz Fernando Almeida,PR,Curitiba,-25.4284,-49.2733,500MB,159
João Gabriel Fogaça,MG,Belo Horizonte,-19.9167,-43.9345,500MB,159
Maria Júlia Peixoto,BA,Salvador,-12.9714,-38.5014,1GB,199
Nicole Moura,SP,São Paulo,-23.5505,-46.6333,100MB,99
Luana Casa Grande,PR,Curitiba,-25.4284,-49.2733,1GB,199
Mathias Gomes,PR,Curitiba,-25.4284,-49.2733,100MB,99
Luiz Henrique Freitas,RJ,Rio de Janeiro,-22.9068,-43.1729,100MB,99
Cauê Pinto,BA,Salvador,-12.9714,-38.5014,500MB,159
Gabrielly Almeida,PE,Recife,-8.0476,-34.877,300MB,129
Dra. Heloísa da Mota,PE,Recife,-8.0476,-34.877,100MB,99
André Rezende,CE,Fortaleza,-3.7319,-38.5267,500MB,159
Zoe da Rosa,MG,Belo Horizonte,-19.9167,-43.9345,1GB,199
Maria Liz Sampaio,BA,Salvador,-12.9714,-38.5014,300MB,129
Liz Costa,BA,Salvador,-12.9714,-38.5014,300MB,129
Manuela Fogaça,CE,Fortaleza,-3.7319,-38.5267,1GB,199
Theodoro Fogaça,CE,Fortaleza,-3.7319,-38.5267,1GB,199
Yan Santos,RJ,Rio de Janeiro,-22.9068,-43.1729,500MB,159
Thiago Barbosa,PE,Recife,-8.0476,-34.877,100MB,99
Vitor Barbosa,PE,Recife,-8.0476,-34.877,300MB,129
Dr. Théo Costa,PR,Curitiba,-25.4284,-49.2733,500MB,159
Bruna Aparecida,MG,Belo Horizonte,-19.9167,-43.9345,300MB,129
José Pimenta,CE,Fortaleza,-3.7319,-38.5267,100MB,99
Bernardo Mendonça,MG,Belo Horizonte,-19.9167,-43.9345,100MB,99
Maria Liz Castro,BA,Salvador,-12.9714,-38.5014,500MB,159
Sara Duarte,MG,Belo Horizonte,-19.9167,-43.9345,300MB,129
Raul Albuquerque,MG,Belo Horizonte,-19.9167,-43.9345,100MB,99
Luiz Miguel Barbosa,PR,Curitiba,-25.4284,-49.2733,300MB,129
Maria Eduarda Moreira,PR,Curitiba,-25.4284,-49.2733,1GB,199
Stella Cavalcante,PR,Curitiba,-25.4284,-49.2733,300MB,129
Maitê Carvalho,PE,Recife,-8.0476,-34.877,500MB,159
Maria Eduarda Moraes,PR,Curitiba,-25.4284,-49.2733,1GB,199
Dra. Pietra Siqueira,CE,Fortaleza,-3.7319,-38.5267,1GB,199
Alexia Rezende,RJ,Rio de Janeiro,-22.9068,-43.1729,500MB,159
Kevin Andrade,BA,Salvador,-12.9714,-38.5014,500MB,159
Davi Lucas Costela,PE,Recife,-8.0476,-34.877,300MB,129
Joana das Neves,BA,Salvador,-12.9714,-38.5014,300MB,129
Srta. Isabelly Carvalho,PR,Curitiba,-25.4284,-49.2733,100MB,99
Maria Clara Novaes,RJ,Rio de Janeiro,-22.9068,-43.1729,300MB,129
Gael Henrique Duarte,RJ,Rio de Janeiro,-22.9068,-43.1729,500MB,159
Henrique Gomes,PE,Recife,-8.0476,-34.877,100MB,99
Lucas Gabriel Câmara,RJ,Rio de Janeiro,-22.9068,-43.1729,1GB,199
Bruno Silva,MG,Belo Horizonte,-19.9167,-43.9345,500MB,159
Sofia Abreu,CE,Fortaleza,-3.7319,-38.5267,300MB,129
Sr. José Pedro da Cunha,BA,Salvador,-12.9714,-38.5014,300MB,129
Davi Miguel Almeida,PR,Curitiba,-25.4284,-49.2733,500MB,159
Igor Campos,RJ,Rio de Janeiro,-22.9068,-43.1729,500MB,159
Sofia Camargo,RJ,Rio de Janeiro,-22.9068,-43.1729,300MB,129
Maria Alice Andrade,SP,São Paulo,-23.5505,-46.6333,100MB,99
Zoe Almeida,CE,Fortaleza,-3.7319,-38.5267,100MB,99
Srta. Maria Vitória Cirino,MG,Belo Horizonte,-19.9167,-43.9345,300MB,129
Ryan Azevedo,RJ,Rio de Janeiro,-22.9068,-43.1729,100MB,99
Zoe Moura,BA,Salvador,-12.9714,-38.5014,300MB,129
Sr. Augusto Brito,BA,Salvador,-12.9714,-38.5014,1GB,199
Maria Laura Camargo,PR,Curitiba,-25.4284,-49.2733,300MB,129
Ana Vitória Gomes,PR,Curitiba,-25.4284,-49.2733,100MB,99
Catarina Machado,RJ,Rio de Janeiro,-22.9068,-43.1729,500MB,159
Sra. Ayla Cardoso,PE,Recife,-8.0476,-34.877,300MB,129
Maria Luísa Campos,RJ,Rio de Janeiro,-22.9068,-43.1729,100MB,99
Sarah Castro,PR,Curitiba,-25.4284,-49.2733,1GB,199
Matheus Brito,SP,São Paulo,-23.5505,-46.6333,100MB,99
Clarice Lopes,PR,Curitiba,-25.4284,-49.2733,500MB,159
Dr. Oliver Novais,PE,Recife,-8.0476,-34.877,1GB,199
Benicio Dias,BA,Salvador,-12.9714,-38.5014,1GB,199
Yago Caldeira,MG,Belo Horizonte,-19.9167,-43.9345,500MB,159
Otto Sousa,PR,Curitiba,-25.4284,-49.2733,1GB,199
Clarice da Paz,SP,São Paulo,-23.5505,-46.6333,1GB,199
Helena da Cunha,CE,Fortaleza,-3.7319,-38.5267,500MB,159
Levi da Paz,PR,Curitiba,-25.4284,-49.2733,100MB,99
Rhavi Lopes,PR,Curitiba,-25.4284,-49.2733,100MB,99
Hellena Brito,BA,Salvador,-12.9714,-38.5014,500MB,159
Srta. Luara da Paz,SP,São Paulo,-23.5505,-46.6333,1GB,199
Letícia da Mota,PE,Recife,-8.0476,-34.877,500MB,159
Cauê Carvalho,PR,Curitiba,-25.4284,-49.2733,300MB,129
José Miguel Farias,RJ,Rio de Janeiro,-22.9068,-43.1729,1GB,199
Bernardo da Cruz,MG,Belo Horizonte,-19.9167,-43.9345,100MB,99
Isabela Alves,PR,Curitiba,-25.4284,-49.2733,100MB,99
Léo Azevedo,PR,Curitiba,-25.4284,-49.2733,1GB,199
Bernardo Sampaio,CE,Fortaleza,-3.7319,-38.5267,300MB,129
Arthur Miguel Silveira,PE,Recife,-8.0476,-34.877,300MB,129
Larissa Campos,PR,Curitiba,-25.4284,-49.2733,1GB,199
Vitor Hugo Porto,SP,São Paulo,-23.5505,-46.6333,1GB,199
Davi Peixoto,SP,São Paulo,-23.5505,-46.6333,100MB,99
Matheus da Mota,SP,São Paulo,-23.5505,-46.6333,500MB,159
Dra. Manuella Azevedo,CE,Fortaleza,-3.7319,-38.5267,300MB,129
Dr. Vitor Lima,MG,Belo Horizonte,-19.9167,-43.9345,500MB,159
Davi da Conceição,BA,Salvador,-12.9714,-38.5014,300MB,129
Hellena Peixoto,RJ,Rio de Janeiro,-22.9068,-43.1729,300MB,129
Alexandre Marques,PR,Curitiba,-25.4284,-49.2733,100MB,99
Manuella das Neves,CE,Fortaleza,-3.7319,-38.5267,100MB,99
Dra. Rebeca Silveira,SP,São Paulo,-23.5505,-46.6333,500MB,159
Marcelo Sampaio,MG,Belo Horizonte,-19.9167,-43.9345,500MB,159
Marina Teixeira,PR,Curitiba,-25.4284,-49.2733,300MB,129
Sofia Fonseca,MG,Belo Horizonte,-19.9167,-43.9345,1GB,199
Rael Duarte,BA,Salvador,-12.9714,-38.5014,100MB,99
Sra. Sofia das Neves,SP,São Paulo,-23.5505,-46.6333,100MB,99
Yasmin Câmara,CE,Fortaleza,-3.7319,-38.5267,500MB,159
Ana Julia Guerra,BA,Salvador,-12.9714,-38.5014,500MB,159
Cecília Silva,RJ,Rio de Janeiro,-22.9068,-43.1729,300MB,129
Ana Laura Costa,PE,Recife,-8.0476,-34.877,1GB,199
Dr. José Miguel Melo,MG,Belo Horizonte,-19.9167,-43.9345,300MB,129
Rhavi Garcia,MG,Belo Horizonte,-19.9167,-43.9345,1GB,199
Luna Cassiano,MG,Belo Horizonte,-19.9167,-43.9345,300MB,129
Sr. Ravi Lucca Cardoso,SP,São Paulo,-23.5505,-46.6333,100MB,99
Natália Macedo,SP,São Paulo,-23.5505,-46.6333,100MB,99
Henry Monteiro,MG,Belo Horizonte,-19.9167,-43.9345,500MB,159
Murilo da Mota,CE,Fortaleza,-3.7319,-38.5267,1GB,199
Maria Luísa Rezende,RJ,Rio de Janeiro,-22.9068,-43.1729,100MB,99
Camila Oliveira,BA,Salvador,-12.9714,-38.5014,100MB,99
Lorena Pimenta,RJ,Rio de Janeiro,-22.9068,-43.1729,300MB,129
Levi Fonseca,CE,Fortaleza,-3.7319,-38.5267,1GB,199
Dr. Thales Castro,CE,Fortaleza,-3.7319,-38.5267,500MB,159
Marcelo Fogaça,RJ,Rio de Janeiro,-22.9068,-43.1729,500MB,159
Kevin Barros,RJ,Rio de Janeiro,-22.9068,-43.1729,500MB,159
Theo Rios,RJ,Rio de Janeiro,-22.9068,-43.1729,500MB,159
Valentina Macedo,RJ,Rio de Janeiro,-22.9068,-43.1729,300MB,129
Dra. Isis Vargas,MG,Belo Horizonte,-19.9167,-43.9345,500MB,159
Sra. Hellena Costa,PR,Curitiba,-25.4284,-49.2733,500MB,159
Mariana Marques,PE,Recife,-8.0476,-34.877,100MB,99
Larissa Costela,CE,Fortaleza,-3.7319,-38.5267,300MB,129
Lívia Marques,BA,Salvador,-12.9714,-38.5014,300MB,129
Mariana Dias,MG,Belo Horizonte,-19.9167,-43.9345,300MB,129
Allana Cavalcanti,SP,São Paulo,-23.5505,-46.6333,500MB,159
Lorenzo da Rosa,BA,Salvador,-12.9714,-38.5014,500MB,159
Bruna Nunes,RJ,Rio de Janeiro,-22.9068,-43.1729,500MB,159
Evelyn da Cruz,RJ,Rio de Janeiro,-22.9068,-43.1729,500MB,159
Emanuella Azevedo,BA,Salvador,-12.9714,-38.5014,300MB,129
Mirella Borges,RJ,Rio de Janeiro,-22.9068,-43.1729,100MB,99
Yago Sá,MG,Belo Horizonte,-19.9167,-43.9345,100MB,99
Emilly Gonçalves,PR,Curitiba,-25.4284,-49.2733,500MB,159
Stella Siqueira,RJ,Rio de Janeiro,-22.9068,-43.1729,500MB,159
Srta. Nicole Rodrigues,MG,Belo Horizonte,-19.9167,-43.9345,1GB,199
Luiz Gustavo da Cunha,SP,São Paulo,-23.5505,-46.6333,500MB,159
Sr. Henry Santos,PR,Curitiba,-25.4284,-49.2733,100MB,99
Yago Vasconcelos,PE,Recife,-8.0476,-34.877,300MB,129
Gabrielly da Rosa,PR,Curitiba,-25.4284,-49.2733,500MB,159
Cauã Borges,PR,Curitiba,-25.4284,-49.2733,100MB,99
Ana Cecília Pimenta,MG,Belo Horizonte,-19.9167,-43.9345,1GB,199
Stephany da Cunha,BA,Salvador,-12.9714,-38.5014,300MB,129
Davi Lucas Cassiano,PE,Recife,-8.0476,-34.877,300MB,129
Sr. Bento Lima,MG,Belo Horizonte,-19.9167,-43.9345,300MB,129
Pietro Sá,RJ,Rio de Janeiro,-22.9068,-43.1729,300MB,129
Pedro Lucas da Costa,SP,São Paulo,-23.5505,-46.6333,300MB,129
Lucas Gabriel Pereira,SP,São Paulo,-23.5505,-46.6333,500MB,159
Mirella Câmara,RJ,Rio de Janeiro,-22.9068,-43.1729,300MB,129
Felipe Ramos,MG,Belo Horizonte,-19.9167,-43.9345,1GB,199
